id,longitude,latitude
1,-73.79,-13.11
2,-73.82,-13.06
3,-73.89,-12.95
4,-73.96,-12.91
5,-73.87,-13.07
6,-74.04,-12.88
7,-74.05,-12.92
8,-74.00,-12.94
9,-74.10,-12.93
10,-74.09,-12.97
11,-73.94,-13.10
12,-73.98,-13.08
13,-73.81,-13.11
14,-74.07,-12.86
15,-73.90,-13.00
16,-73.90,-13.11
17,-73.82,-13.17
18,-73.91,-13.15
19,-73.97,-13.07
20,-73.96,-13.00
21,-74.12,-12.91
22,-73.98,-12.99
23,-73.87,-13.16
24,-73.83,-13.07
25,-74.00,-12.88
26,-73.78,-13.12
27,-73.96,-13.02
28,-73.93,-13.09
29,-73.90,-13.12
30,-73.89,-13.18
31,-73.95,-12.89
32,-73.85,-13.08
33,-73.94,-12.88
34,-73.93,-13.17
35,-73.90,-12.87
36,-74.04,-12.88
37,-74.00,-12.90
38,-73.88,-13.06
39,-73.96,-13.02
40,-74.08,-12.85
41,-74.02,-12.87
42,-73.87,-13.13
43,-74.02,-12.95
44,-73.79,-13.10
45,-74.06,-12.92
46,-73.98,-12.87
47,-74.01,-12.95
48,-73.88,-13.15
49,-73.89,-13.04
50,-74.07,-12.85
51,-74.07,-12.97
52,-74.02,-12.92
53,-74.05,-12.94
54,-73.95,-12.99
55,-73.92,-13.08
56,-73.90,-13.08
57,-73.91,-12.88
58,-73.99,-13.03
59,-73.82,-13.08
60,-73.81,-13.06
61,-73.89,-13.16
62,-74.01,-12.92
63,-73.81,-13.06
64,-74.08,-12.84
65,-73.83,-13.10
66,-74.02,-12.91
67,-74.00,-12.85
68,-73.97,-12.94
69,-73.97,-13.05
70,-73.90,-13.19
71,-74.13,-12.83
72,-74.09,-12.93
73,-74.07,-12.95
74,-73.91,-12.88
75,-73.98,-12.95
76,-73.96,-13.02
77,-74.02,-12.97
78,-74.09,-12.97
79,-74.06,-12.83
80,-73.88,-13.18
81,-74.02,-12.85
82,-73.81,-13.06
83,-73.97,-13.05
84,-73.95,-12.89
85,-74.09,-12.97
86,-73.81,-13.10
87,-73.89,-13.16
88,-73.92,-13.00
89,-74.06,-12.93
90,-74.01,-12.89
91,-73.83,-13.18
92,-73.92,-13.03
93,-74.03,-12.96
94,-73.94,-13.02
95,-73.95,-12.88
96,-73.97,-13.03
97,-74.04,-12.93
98,-73.94,-13.02
99,-73.93,-13.07
100,-73.79,-13.11
