"id","geometry","elevation","elev_units"
1,c(-73.79, -13.11),3365,"meters"
2,c(-73.82, -13.06),4034,"meters"
3,c(-73.89, -12.95),3959,"meters"
4,c(-73.96, -12.91),3592,"meters"
5,c(-73.87, -13.07),3454,"meters"
6,c(-74.04, -12.88),3680,"meters"
7,c(-74.05, -12.92),3665,"meters"
8,c(-74, -12.94),3190,"meters"
9,c(-74.1, -12.93),4091,"meters"
10,c(-74.09, -12.97),4237,"meters"
11,c(-73.94, -13.1),2897,"meters"
12,c(-73.98, -13.08),3694,"meters"
13,c(-73.81, -13.11),3096,"meters"
14,c(-74.07, -12.86),3947,"meters"
15,c(-73.9, -13),3538,"meters"
16,c(-73.9, -13.11),2545,"meters"
17,c(-73.82, -13.17),2611,"meters"
18,c(-73.91, -13.15),2785,"meters"
19,c(-73.97, -13.07),2893,"meters"
20,c(-73.96, -13),2931,"meters"
21,c(-74.12, -12.91),4272,"meters"
22,c(-73.98, -12.99),3018,"meters"
23,c(-73.87, -13.16),3275,"meters"
24,c(-73.83, -13.07),3928,"meters"
25,c(-74, -12.88),3535,"meters"
26,c(-73.78, -13.12),3159,"meters"
27,c(-73.96, -13.02),2849,"meters"
28,c(-73.93, -13.09),2492,"meters"
29,c(-73.9, -13.12),2477,"meters"
30,c(-73.89, -13.18),3516,"meters"
31,c(-73.95, -12.89),3939,"meters"
32,c(-73.85, -13.08),3536,"meters"
33,c(-73.94, -12.88),3939,"meters"
34,c(-73.93, -13.17),3364,"meters"
35,c(-73.9, -12.87),3995,"meters"
36,c(-74.04, -12.88),3680,"meters"
37,c(-74, -12.9),3372,"meters"
38,c(-73.88, -13.06),3454,"meters"
39,c(-73.96, -13.02),2849,"meters"
40,c(-74.08, -12.85),3888,"meters"
41,c(-74.02, -12.87),3734,"meters"
42,c(-73.87, -13.13),2373,"meters"
43,c(-74.02, -12.95),3529,"meters"
44,c(-73.79, -13.1),3365,"meters"
45,c(-74.06, -12.92),3665,"meters"
46,c(-73.98, -12.87),3872,"meters"
47,c(-74.01, -12.95),3182,"meters"
48,c(-73.88, -13.15),2704,"meters"
49,c(-73.89, -13.04),3395,"meters"
50,c(-74.07, -12.85),3888,"meters"
51,c(-74.07, -12.97),4206,"meters"
52,c(-74.02, -12.92),3532,"meters"
53,c(-74.05, -12.94),3631,"meters"
54,c(-73.95, -12.99),3146,"meters"
55,c(-73.92, -13.08),2492,"meters"
56,c(-73.9, -13.08),2826,"meters"
57,c(-73.91, -12.88),4089,"meters"
58,c(-73.99, -13.03),2998,"meters"
59,c(-73.82, -13.08),3759,"meters"
60,c(-73.81, -13.06),4034,"meters"
61,c(-73.89, -13.16),3275,"meters"
62,c(-74.01, -12.92),3372,"meters"
63,c(-73.81, -13.06),4034,"meters"
64,c(-74.08, -12.84),3888,"meters"
65,c(-73.83, -13.1),2982,"meters"
66,c(-74.02, -12.91),3532,"meters"
67,c(-74, -12.85),3867,"meters"
68,c(-73.97, -12.94),3458,"meters"
69,c(-73.97, -13.05),2893,"meters"
70,c(-73.9, -13.19),3411,"meters"
71,c(-74.13, -12.83),4138,"meters"
72,c(-74.09, -12.93),4091,"meters"
73,c(-74.07, -12.95),4092,"meters"
74,c(-73.91, -12.88),4089,"meters"
75,c(-73.98, -12.95),3079,"meters"
76,c(-73.96, -13.02),2849,"meters"
77,c(-74.02, -12.97),3918,"meters"
78,c(-74.09, -12.97),4237,"meters"
79,c(-74.06, -12.83),3892,"meters"
80,c(-73.88, -13.18),3516,"meters"
81,c(-74.02, -12.85),3793,"meters"
82,c(-73.81, -13.06),4034,"meters"
83,c(-73.97, -13.05),2893,"meters"
84,c(-73.95, -12.89),3939,"meters"
85,c(-74.09, -12.97),4237,"meters"
86,c(-73.81, -13.1),3096,"meters"
87,c(-73.89, -13.16),3275,"meters"
88,c(-73.92, -13),3223,"meters"
89,c(-74.06, -12.93),3631,"meters"
90,c(-74.01, -12.89),3535,"meters"
91,c(-73.83, -13.18),3332,"meters"
92,c(-73.92, -13.03),2863,"meters"
93,c(-74.03, -12.96),3529,"meters"
94,c(-73.94, -13.02),3024,"meters"
95,c(-73.95, -12.88),3939,"meters"
96,c(-73.97, -13.03),2755,"meters"
97,c(-74.04, -12.93),3409,"meters"
98,c(-73.94, -13.02),3024,"meters"
99,c(-73.93, -13.07),2638,"meters"
100,c(-73.79, -13.11),3365,"meters"
